WID,AEZ8_DESC,AEZ8_CODE
10101,Semi-Arid,3
10102,Semi-Arid,3
10103,Trp. Hld. Semi-Arid,11
10104,Trp. Hld. Semi-Arid,11
10105,Semi-Arid,3
10106,Semi-Arid,3
10201,Trp. Hld. Semi-Arid,11
10202,Trp. Hld. Semi-Arid,11
10203,Trp. Hld. Semi-Arid,11
10204,Trp. Hld. Semi-Arid,11
10205,Trp. Hld. Semi-Arid,11
10206,Trp. Hld. Semi-Arid,11
10207,Trp. Hld. Semi-Arid,11
10208,Trp. Hld. Semi-Arid,11
10209,Trp. Hld. Semi-Arid,11
10210,Trp. Hld. Semi-Arid,11
10301,Trp. Hld. Semi-Arid,11
10302,Semi-Arid,3
10303,Trp. Hld. Semi-Arid,11
10304,Trp. Hld. Semi-Arid,11
10305,Trp. Hld. Semi-Arid,11
10306,Trp. Hld. Semi-Arid,11
10307,Trp. Hld. Semi-Arid,11
10401,Trp. Hld. Semi-Arid,11
10402,Trp. Hld. Semi-Arid,11
10403,Trp. Hld. Semi-Arid,11
10404,Trp. Hld. Semi-Arid,11
10405,Trp. Hld. Semi-Arid,11
10406,Trp. Hld. Semi-Arid,11
10407,Trp. Hld. Semi-Arid,11
10408,Trp. Hld. Semi-Arid,11
10501,Semi-Arid,3
10502,Semi-Arid,3
10503,Semi-Arid,3
20101,Arid,2
20102,Arid,2
20103,Arid,2
20104,Arid,2
20105,Semi-Arid,3
20106,Semi-Arid,3
20201,Semi-Arid,3
20202,Trp. Hld. Semi-Arid,11
20203,Trp. Hld. Semi-Arid,11
20204,Semi-Arid,3
20205,Arid,2
20206,Arid,2
20207,Arid,2
20301,Semi-Arid,3
20302,Semi-Arid,3
20303,Semi-Arid,3
20304,Semi-Arid,3
20305,Semi-Arid,3
20306,Trp. Hld. Semi-Arid,11
20401,Semi-Arid,3
20402,Semi-Arid,3
20403,Semi-Arid,3
20404,Semi-Arid,3
20405,Semi-Arid,3
20501,Semi-Arid,3
20502,Semi-Arid,3
20503,Semi-Arid,3
20504,Semi-Arid,3
20505,Semi-Arid,3
30101,Trp. Hld. Semi-Arid,11
30102,Trp. Hld. Semi-Arid,11
30103,Trp. Hld. Semi-Arid,11
30104,Semi-Arid,3
30105,Trp. Hld. Semi-Arid,11
30106,Semi-Arid,3
30107,Semi-Arid,3
30108,Semi-Arid,3
30109,Semi-Arid,3
30110,Trp. Hld. Semi-Arid,11
30111,Trp. Hld. Semi-Arid,11
30112,Trp. Hld. Semi-Arid,11
30113,Semi-Arid,3
30114,Semi-Arid,3
30115,Semi-Arid,3
30116,Trp. Hld. Semi-Arid,11
30117,Trp. Hld. Semi-Arid,11
30119,Trp. Hld. Semi-Arid,11
30120,Semi-Arid,3
30121,Semi-Arid,3
30201,Trp. Hld. Semi-Arid,11
30202,Trp. Hld. Sub-Humid,12
30203,Trp. Hld. Sub-Humid,12
30204,Trp. Hld. Sub-Humid,12
30205,Trp. Hld. Semi-Arid,11
30206,Trp. Hld. Semi-Arid,11
30207,Trp. Hld. Sub-Humid,12
30208,Trp. Hld. Sub-Humid,12
30209,Trp. Hld. Sub-Humid,12
30211,Trp. Hld. Sub-Humid,12
30301,Trp. Hld. Semi-Arid,11
30302,Semi-Arid,3
30303,Trp. Hld. Semi-Arid,11
30304,Trp. Hld. Semi-Arid,11
30305,Trp. Hld. Semi-Arid,11
30306,Trp. Hld. Sub-Humid,12
30307,Trp. Hld. Sub-Humid,12
30308,Trp. Hld. Semi-Arid,11
30310,Trp. Hld. Semi-Arid,11
30311,Trp. Hld. Semi-Arid,11
30401,Trp. Hld. Semi-Arid,11
30402,Trp. Hld. Semi-Arid,11
30403,Trp. Hld. Semi-Arid,11
