WID,GLC100,GLC90,NTOxd2,NTOxd1,EXKXxd2,EXKXxd1,SHDDEM,GLC50,SNDPPTsd1,SNDPPTsd6,SNDPPTsd2,SNDPPTsd3,SNDPPTsd4,SNDPPTsd5,GLC10,BDRICM,GLC30,EMGXxd1,EMGXxd2,ENAXxd2,ENAXxd1,PHIHOXsd1,PHIHOXsd5,PHIHOXsd4,PHIHOXsd2,PHIHOXsd6,PHIHOXsd3,GLC20,CLYPPTsd1,CLYPPTsd4,CLYPPTsd6,CLYPPTsd3,CLYPPTsd5,CLYPPTsd2,SLTPPTsd6,SLTPPTsd2,SLTPPTsd1,SLTPPTsd4,SLTPPTsd3,SLTPPTsd5,GLC60,TEXMHTsd6,TEXMHTsd4,TEXMHTsd3,TEXMHTsd1,TEXMHTsd5,TEXMHTsd2,SMKISR5a,GLC70,ECNsd6,ECNsd2,ECNsd1,ECNsd4,ECNsd3,ECNsd5,EALKCLxd1,EALKCLxd2,BLDsd1,BLDsd3,BLDsd4,BLDsd5,BLDsd6,BLDsd2,CECsd6,CECsd1,CECsd4,CECsd3,CECsd2,CECsd5,GLC40,GLC80,EXBXsd1,EXBXsd2,EXBXsd5,EXBXsd6,EXBXsd3,EXBXsd4,ECAXxd2,ECAXxd1,CRFVOLsd1,CRFVOLsd6,CRFVOLsd2,CRFVOLsd3,CRFVOLsd4,CRFVOLsd5,ALUM3Sxd1,ALUM3Sxd2,ORCDRCsd4,ORCDRCsd3,ORCDRCsd2,ORCDRCsd1,ORCDRCsd5,ORCDRCsd6,EACKCLsd5,EACKCLsd2,EACKCLsd6,EACKCLsd4,EACKCLsd3,EACKCLsd1,DRAINFAO
10101,0,10.22024315,0.725040704,1.012822739,0.538088475,0.579276569,0.795828791,0,45.08244944,43.40610737,43.65746772,42.52789734,41.16225128,41.28951515,6.718969743,86.7138634,81.55333088,4.163149357,4.359143673,0.737515317,0.625810488,66.59881426,72.4015106,69.37285796,67.17498579,76.08789085,67.870722,0.293828387,27.28300171,33.64461951,31.98923089,31.0856818,33.78910095,28.91740437,24.60560383,27.42741818,27.63130025,25.19311297,26.38263624,24.92099407,0.113933783,4.741736376,4.242978965,4.678242508,5.627564363,4.234159019,5.170860067,1,0,0.366903054,0.281352395,0.471452601,0.288748565,0.27895495,0.304602084,0.021003995,0.021021735,1439.639081,1465.431008,1491.658897,1530.291399,1567.295379,1450.365467,21.8080078,24.44085113,21.72049054,20.58068708,21.00394705,21.99030293,1.019381397,0.069372587,18.07457159,18.00436937,19.41625924,20.49312109,18.26792821,18.73187688,12.84531601,12.62824414,24.06976366,32.20310241,23.12669536,25.77006416,28.32615934,30.4207423,800.8265411,846.4668724,7.271826525,11.03206367,14.05162024,15.63854463,4.447267116,3.203102412,0.044641237,0.043313984,0.042996279,0.045339717,0.043724221,0.051470505,4.756761147
10102,0,4.28377425,0.97011969,1.324054087,0.726434041,0.79422179,0.806495795,0,45.65745778,43.87348972,44.69575355,43.754575,42.45873666,42.64904967,25.47851852,94.56359076,62.34585538,4.381313155,4.59549566,1.300223556,1.205139934,66.47286794,71.48749382,69.06606373,67.06397937,74.67748887,67.76100473,4.275590829,27.12859464,32.14534021,30.93859959,29.95039921,32.15502014,28.26665725,25.1908076,27.03536353,27.21652653,25.39874938,26.29287077,25.194941,0.015485009,4.953684731,4.608881509,4.989648838,5.711333286,4.633222638,5.365752844,1,0,0.369177383,0.293303328,0.389327316,0.298747368,0.289636059,0.316334982,0.025095407,0.026866814,1383.379849,1423.315905,1452.546103,1480.014131,1513.594291,1400.137427,27.19391648,29.97163146,27.18762806,26.04366565,26.55656045,27.49434749,3.579611993,0,22.67505123,22.6901717,23.45110577,24.28160107,22.9516357,22.97788455,16.91572953,16.66549247,21.17487458,32.05719635,20.93481947,23.82350032,27.0201724,30.59319579,754.7430933,788.8591818,13.40556772,19.9215714,23.14050025,24.49604324,7.200310888,4.978873737,0.111087168,0.111507941,0.105431147,0.114371335,0.109860595,0.117824991,5.186638875
10103,0,0.015494707,1.122736115,1.503417824,0.991622034,1.06440085,0.874668845,0,41.78928381,39.17730203,40.74699864,39.95227394,38.60518067,38.72085871,44.04216689,104.5297179,37.81601514,5.727084397,5.926779827,1.197014607,1.118941568,67.61487965,73.31610385,70.60364303,68.15435567,75.67987462,68.85617127,15.39866343,28.782187,34.49997043,34.16937725,31.79490212,34.72931575,30.06866166,26.65148737,29.1825655,29.42764208,26.89135963,28.2501035,26.55159974,0.213909752,3.941037317,3.915902774,4.402921521,5.164172926,3.853746526,4.761133124,1,0,0.325348927,0.250474842,0.385059258,0.254185771,0.24809492,0.281902537,0.019393435,0.022051522,1319.41747,1358.61553,1388.394938,1420.364894,1455.540245,1331.340115,34.43391094,36.12348453,34.01141404,32.81104737,33.4735348,34.40351292,2.399609675,0.065172393,28.07812408,27.98367733,28.81181619,29.62020226,28.20982909,28.18972145,20.80261991,20.52226034,19.68744456,31.21834526,19.10621562,21.91809096,25.04707552,28.53509965,783.8403809,807.9813709,13.73174049,19.6785144,22.86533799,24.74398249,7.807972086,5.130226507,0.176029405,0.177334751,0.17040799,0.177794766,0.175460299,0.192678089,5.309598439
10104,0,0.863878256,1.172795984,1.57169477,0.989986926,1.07785462,0.838515627,0,41.51027078,39.12455649,40.40597572,39.5070028,38.5,38.68319328,57.78134628,126.9188609,23.55550369,5.117974795,5.290906635,1.24040056,1.211411483,66.35172736,71.35639589,68.87497666,66.86377218,73.93436041,67.4735761,15.93754085,28.48748833,34.2200747,33.85172736,31.86134454,34.46517274,29.87422969,27.02745098,29.7286648,29.9929972,27.2837535,28.64304388,26.85462185,0.00476146,3.974883287,3.971428571,4.509990663,5.307563025,3.873482726,4.942296919,1,0,0.288779832,0.232898133,0.317213165,0.229044444,0.225479365,0.247789542,0.024428415,0.026536598,1325.966387,1364.252101,1392.67507,1421.730159,1456.938375,1342.630252,33.45863679,35.132493,33.09561158,32.25303455,32.78515406,33.43062558,0.668004855,1.148632247,26.70485528,26.578338,27.30429505,28.00522876,26.72016807,26.66713352,19.72705322,19.54731093,15.56825397,28.21708683,15.23893557,18.3907563,22.04323063,25.76405229,808.6401494,838.6811391,12.93874883,19.79981326,24.18720822,25.75957049,7.100840336,4.585340803,0.104075001,0.105708246,0.100447219,0.105640867,0.105158247,0.116944454,4.981886088
10105,0,1.912698206,1.029544362,1.439398864,0.767614078,0.814421286,0.843784458,0,44.74330061,42.21797443,43.57590041,42.41115654,41.29899216,41.43264148,25.34691593,115.3318576,66.5378707,4.700599497,4.833397226,0.827304358,0.763051037,66.55696763,70.34081617,68.22820907,66.77397849,72.90580484,66.97520769,4.334053688,25.61634418,32.10320581,31.34769135,29.57308784,32.31888851,27.11562801,26.43212063,29.30904451,29.6392354,26.59584885,28.01526081,26.24625641,0.34316661,4.791114352,4.546498607,4.931326337,6.021302638,4.515091539,5.524961588,1,0,0.436595875,0.379309878,0.698659522,0.373603156,0.369221334,0.391257246,0.027641875,0.02970588,1380.466418,1411.62947,1439.914842,1471.603688,1507.586916,1393.549832,25.00226568,28.61181281,24.675278,23.65225657,24.26209016,24.9977864,1.493217382,0.017783217,19.61470351,19.48371051,20.50113284,21.54444126,19.63926144,19.85129821,14.78644418,14.6069507,23.86124639,33.45568895,23.28597099,26.53191489,28.67772598,31.77793693,842.8279643,878.0705487,10.77015026,16.63202167,20.16323342,22.22247975,6.06119951,4.06086096,0.10560533,0.107370729,0.099510329,0.106740757,0.106002395,0.125825476,5.028073648
10106,0,0.011778296,1.233104486,1.766200162,1.106982717,1.160708146,0.850147091,0,38.08004711,35.68705973,36.92674806,36.18009468,34.5804435,34.5922671,17.45770006,97.07221002,61.11343405,8.072517386,8.243326467,1.524995378,1.328865636,64.8927722,68.88409704,66.71503318,65.19909851,71.5683934,65.53092935,19.28247525,31.44839068,39.34886407,38.93062131,35.34544384,39.89782328,33.04194886,25.38209246,30.0257537,30.47156221,26.07182496,28.47378197,25.50558337,0.017690095,2.800539084,2.685021178,3.555777028,4.500419036,2.606446352,4.2107409,1,0,1.042553375,0.950348164,1.377412988,0.943858404,0.926361849,0.961666651,0.041774104,0.04381084,1300.377585,1319.468165,1338.135632,1363.084781,1394.149584,1308.075608,35.95098417,37.73172665,35.58028494,34.65204195,35.51541371,35.73217966,2.079707355,0.019638044,30.50232168,30.33620241,31.70336814,32.65829351,30.57002424,30.96901402,21.9766373,21.67092392,27.42648758,36.3122381,26.31839906,29.96276246,32.20125031,34.18990238,904.6454053,933.2592131,14.10072708,18.4711545,23.44037238,26.04102018,9.36659947,6.579514825,0.341544,0.35068382,0.329270515,0.345232033,0.341570861,0.373292503,5.082787832
10201,0,0.120524761,0.924200389,1.203988181,0.791333883,0.862403885,0.777495296,0,45.61514196,43.8473787,44.74598167,43.90180762,42.33773972,42.47664113,33.07445796,88.26293125,56.96880477,5.217616549,5.467333636,1.289795902,1.17356652,67.00085123,74.03770467,71.12728456,67.9100696,77.03945721,69.02939262,6.005708277,28.02879175,32.72460067,31.35511492,30.42777027,32.72910721,29.06479395,24.7931,26.18371639,26.3487557,24.93280256,25.66942066,24.79239898,0.000600871,4.862350408,4.482499624,4.835361274,5.464323269,4.521606329,5.129087176,1,0,0.355631566,0.247547394,0.343221872,0.254908367,0.24738651,0.28161394,0.027253507,0.030486982,1365.911071,1402.912223,1428.718141,1458.050673,1491.399529,1381.639377,30.82975314,32.73721897,30.75409344,29.16784337,30.06834911,31.27579991,3.673927194,0.117971058,27.09458715,27.12653347,27.63381904,28.28506334,27.48890892,27.2630314,20.25291272,20.01999149,24.8431726,35.05492965,24.95778879,27.34099444,30.17580492,33.52771519,709.0370537,735.7601021,12.90596365,18.86099845,21.18056181,22.41895749,6.863752441,4.593009864,0.340012298,0.338749642,0.331012623,0.35083081,0.334851855,0.341556091,5.573781984
10202,0,0.015199615,1.0735253,1.37594949,1.035010052,1.113338848,0.816153577,0,42.82658264,40.98677121,41.89729652,41.1110737,39.69294785,39.81017895,59.30524291,98.57980566,28.54790765,5.710405043,6.036549933,1.156248604,1.019031267,67.03381759,72.88007504,70.33726188,67.75331922,75.88931114,68.73027708,10.63227513,30.31830864,34.99595921,33.9701751,32.75899557,35.09919184,31.37603425,25.04358284,26.72844911,26.85323263,25.30801424,26.1347893,25.09337118,0.032852333,4.20256879,3.944054262,4.494467962,5.059601693,3.911198769,4.79815278,1,0,0.414405378,0.296012656,0.443190783,0.307642207,0.298176429,0.33867207,0.016714233,0.018803493,1354.599288,1390.645084,1420.301616,1445.902925,1477.324418,1368.312007,32.9208197,34.72806427,32.80378103,31.76245911,32.14556475,33.14638253,1.313804714,0.105820106,32.72820858,32.75442563,33.21392149,33.61088128,33.18592457,32.85530114,24.42805464,23.96789975,20.54300558,33.409467,20.3683375,22.9557918,26.62680393,30.99427554,666.834087,685.8302867,14.22710217,20.04752742,23.41283433,24.43606889,8.077544737,5.137531268,0.289523879,0.290778858,0.287093097,0.291953319,0.289523278,0.308427684,5.387771791
10203,0,0.195063813,1.026988774,1.34316329,0.860642828,0.935101309,0.88865874,0,43.31515693,41.97948947,42.49329559,41.82146404,40.56252483,40.71871275,34.25922431,87.41790822,56.79609674,4.993430678,5.291514205,1.215870181,1.089294645,66.11789829,73.35861144,69.67833731,66.95108264,76.40976361,67.88498212,6.275115459,28.7003377,33.25407231,32.08472388,31.13910409,33.25357569,29.78406834,25.9347934,27.71975566,27.98227056,26.18211164,27.04261025,26.02453317,0.126781546,4.397397696,4.190256257,4.447506953,5.115067541,4.192938021,4.69745729,1,0,0.386146106,0.260948748,0.361591875,0.274868246,0.265924861,0.315831098,0.019752631,0.021583431,1347.275526,1386.338399,1417.6177,1444.687624,1472.406138,1357.830254,30.88855781,33.17600318,30.95227453,29.95689313,30.49756655,31.19129917,2.206584893,0.090231911,30.18087008,30.18975963,30.26375646,30.56679579,30.44055423,29.82255662,22.79286899,22.53686681,22.28282678,33.68836909,21.97988677,24.40246325,27.73604489,31.86705403,681.2214442,704.2775129,14.90052642,21.43126738,24.25243345,25.43687922,7.971096544,4.811332936,0.141782499,0.145833314,0.141968683,0.145884808,0.141742715,0.155515092,5.40742948
10204,0,0.006474618,1.119950971,1.439558561,1.043628815,1.123973136,0.847248611,0,42.92448577,40.89893867,42.13412229,41.43815159,40.02047525,40.05071851,63.31500422,119.4438809,20.71333396,5.181443602,5.456933409,1.092146989,0.996039447,67.51469898,73.76462853,71.09833756,68.11176857,76.25885226,69.07607777,13.60758187,28.22222222,33.07654738,32.226167,30.67577721,33.17986287,29.21348737,26.87329764,28.65107542,28.85667324,26.90119282,27.88522589,26.76444069,0.172562635,4.436836668,4.263548417,4.644970414,5.290410444,4.245609092,4.973419743,1,0,0.317557434,0.226461135,0.405132619,0.229039542,0.224224824,0.261416267,0.013348703,0.015187206,1339.802761,1381.367521,1422.983,1451.004978,1486.526721,1353.00742,35.40246079,36.48314079,34.9720109,33.99041984,34.53958862,35.41561003,1.256826499,0.886928779,30.93406593,30.96769043,31.51610782,32.077017,31.28223913,31.00056354,23.12287969,22.73267587,16.87170095,30.98957453,16.48858833,18.85376162,22.4568423,27.80576688,700.0946746,721.9822485,16.42453273,23.81177797,26.63989856,27.69080492,8.806048652,5.651545036,0.231108763,0.23299211,0.229207288,0.232594815,0.230913497,0.24889706,5.487930873
